Unique ID,Title,Preferred Major,Academic Level,Activity Type
11283,CCRI - Earth Observation Applications for Resiliency,Computer and Information Sciences - Computer Science;Engineering - Environmental/Environmental Health Engineering;Engineering - Geological/Geophysical Engineering;Environmental Design;High School - Other Interest;Mathematics;Mathematics - Applied;Multi-disciplinary - Sustainability Studies;Natural Resources Conservation and Research;Physical Science - Geological and Earth Science/Geosciences,10;11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,Virtual
11471,Software Code Coverage,Computer and Information Sciences - Computer/Information Technology Administration and Management;Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Computer and Information Sciences - Computer Software and Media Applications;Computer and Information Sciences - Computer Systems Analysis;Computer and Information Sciences - Computer Systems Networking and Telecommunications;Computer and Information Sciences - Data Processing;Engineering - Aerospace / Aeronautical and Astronautical Engineering;Engineering - Computer;Engineering - Electrical / Electronics / Communications Engineering;Engineering - Electromechanical Engineering;Engineering - Industrial;Engineering - Materials Science;Engineering - Mechatronics / Robotics / Automation Engineering;Engineering - Systems,10;11;12,Virtual
11500,SLS/Orion Graphical Demonstration via Gaming Platforms,Computer and Information Sciences - Computer/Information Technology Administration and Management;Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Computer and Information Sciences - Computer Software and Media Applications;Computer and Information Sciences - Computer Systems Analysis;Computer and Information Sciences - Computer Systems Networking and Telecommunications;Computer and Information Sciences - Data Entry/Microcomputer Applications;Computer and Information Sciences - Data Processing;Computer and Information Sciences - Information Science/Studies;Engineering - Computer,10;11;12,Virtual
11521,Onsite/Virtual - Advanced Air Mobility National Campaign,Engineering - Aerospace / Aeronautical and Astronautical Engineering;Engineering - Computer;Engineering - Electrical / Electronics / Communications Engineering;Engineering - Electromechanical Engineering;Engineering - Environmental/Environmental Health Engineering;Engineering - General;Engineering - Geological/Geophysical Engineering;Engineering - Industrial;Engineering - Manufacturing;Engineering - Materials Science;Engineering - Mechanics;Engineering - Operations Research;Engineering - Systems;Engineering Technology - Drafting/Design Engineering Technologies/Technicians,9;10;11;12,In-person / Virtual
11587,Molten Regolith Electrolysis,Engineering - Aerospace / Aeronautical and Astronautical Engineering;Engineering - Agricultural;Engineering - Architectural;Engineering - Biochemical;Engineering - Biological/Biosystems;Engineering - Biomedical/Medical Engineering;Engineering - Ceramic Sciences and Engineering;Engineering - Chemical;Engineering - Chemistry;Engineering - Civil;Engineering - Computer;Engineering - Construction;Engineering - Electrical / Electronics / Communications Engineering;Engineering - Electromechanical Engineering;Engineering - Environmental/Environmental Health Engineering;Engineering - General;Engineering - Geological/Geophysical Engineering;Engineering - Industrial;Engineering - Manufacturing;Engineering - Materials;Engineering - Materials Science;Engineering - Mechanical;Engineering - Mechanics;Engineering - Mechatronics / Robotics / Automation Engineering;Engineering - Metallurgical;Engineering - Mining and Mineral Engineering;Engineering - Naval Architecture and Marine Engineering;Engineering - Nuclear;Engineering - Ocean;Engineering - Operations Research;Engineering - Petroleum;Engineering - Physics;Engineering - Polymer/Plastics Engineering;Engineering - Science;Engineering - Surveying;Engineering - Systems,11;12;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior;Graduate Master's;Post Doctoral,In-person
11616,CRESST II An Online Portal to Help Citizen Scientists Find Exoplanets,Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Engineering - Computer;Physical Science - Astronomy and Astrophysics;Physical Science - Atmospheric Sciences and Meteorology;Physical Science - Physics,9;10;11;12,In-person / Virtual
11645,Antarctic Study with Satellite Observations,Computer and Information Sciences - Computer/Information Technology Administration and Management;Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Computer and Information Sciences - Computer Software and Media Applications;Computer and Information Sciences - Computer Systems Analysis;Computer and Information Sciences - Computer Systems Networking and Telecommunications;Computer and Information Sciences - Data Entry/Microcomputer Applications;Computer and Information Sciences - Data Processing;Computer and Information Sciences - Information Science/Studies;Engineering - Computer;Mathematics;Mathematics - Applied;Mathematics - Mathematics and Statistics;Mathematics - Statistics,10;11;12;Graduate Master's;Graduate Doctoral,Virtual
11652,Global Health Burden by Dust and Pollution Aerosol,Computer and Information Sciences - Computer Software and Media Applications;Computer and Information Sciences - Computer Systems Analysis;Environmental Design;Health Science - Health Services/Allied Health/Health Sciences / General;High School - Other Interest;Mathematics;Natural Resources Conservation and Research;Other-Not Listed;Physical Science - Astronomy and Astrophysics;Physical Science - Physics,10;11;12,Virtual
11659,Research Lab Intern,Education - Curriculum and Instruction;Education - General;Education - Technology Education/Industrial Arts;Engineering - Aerospace / Aeronautical and Astronautical Engineering;Engineering - Chemical;Engineering - Computer;Engineering - Electrical / Electronics / Communications Engineering;Engineering - General;Engineering - Materials;Engineering - Materials Science;Engineering - Mechanical;Engineering - Physics;Engineering - Polymer/Plastics Engineering;Engineering - Science;Engineering - Systems;Mathematics;Mathematics - Applied;Mathematics - Mathematics and Statistics;Mathematics - Statistics;Multi-disciplinary - Interdisciplinary Studies / General;Physical Science - Physics,11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior;Graduate Master's;Graduate Doctoral;Post Doctoral,Virtual
11665,Astrophysics Projects Research,Multi-disciplinary - Interdisciplinary Studies / General;Multi-disciplinary - Mathematics and Computer Science;Other-Not Listed;Physical Science - Astronomy and Astrophysics;Science Technology - Physical Science Technologies/Technicians;Visual and Performing Arts - General,11;12;Undergraduate Freshman;Undergraduate Sophomore,Virtual
11667,Improving Observation of Vegetation Water Content and Stress from Space,Biological Science - Biology;Biological Science - Botany/Plant Biology;Biological Science - Ecology / Evolution / Systematics / Population Biology;Engineering - Environmental/Environmental Health Engineering;Natural Resources Conservation and Research;Physical Science - Astronomy and Astrophysics;Physical Science - Physics,10;11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior;Graduate Master's;Graduate Doctoral,In-person / Virtual
11679,CCRI - Atmospheric Rivers in a Changing Climate,Engineering - Environmental/Environmental Health Engineering;Engineering - Geological/Geophysical Engineering;Mathematics - Applied;Multi-disciplinary - Computational Science;Multi-disciplinary - Natural Sciences;Multi-disciplinary - Sustainability Studies;Physical Science - Atmospheric Sciences and Meteorology;Physical Science - Geological and Earth Science/Geosciences,10;11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,Virtual
11690,SCaN Navigation Visualizations & NASA App Development Challenge,Computer and Information Sciences - Computer Science,10;11;12;Undergraduate Freshman;Undergraduate Sophomore,Virtual
11728,Eclipse generated gravity wave,Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Mathematics - Applied;Mathematics - Mathematics and Statistics;Mathematics - Statistics;Multi-disciplinary - Mathematics and Computer Science;Physical Science - Atmospheric Sciences and Meteorology;Physical Science - Physics,11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,Virtual
11730,IT Services: Datacenter and Application Development Tasks,Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Engineering - Computer,10;11;12,In-person / Virtual
11731,Low Surface Energy Coatings for Dust Mitigation,Engineering - Chemical;Engineering - Materials Science;Engineering - Physics,10;11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,In-person / Virtual
11734,Laser Detection and Ranging (Lidar) from Airborne and Space Borne Platforms,Engineering - Aerospace / Aeronautical and Astronautical Engineering;Engineering - Computer;Engineering - Electrical / Electronics / Communications Engineering;Engineering - General,10;11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,Virtual
11760,Science Communication Internship,Communication - Journalism and Related Programs;Communication - Media Studies;Communications - Audio Visual;Communications - Graphic Communications;Communications - Public Relations / Advertising / Applied Communication;Communications - Publishing;Communications - Radio / Television / Digital Communications,11;12,Virtual
11765,Restore-L Vehicle and Robotic Payload Scaled Functional Mock-up,Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Engineering - Computer;Engineering - Electrical / Electronics / Communications Engineering;Engineering - Mechanical;Engineering - Mechatronics / Robotics / Automation Engineering;Engineering Technology - Electrical Engineering Technologies/Technicians;Multi-disciplinary - Systems Science and Theory,11;12,Virtual
11766,SCaN Commanding Autonomous Spacecraft Navigation & Operation,Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Computer and Information Sciences - Computer Systems Networking and Telecommunications;Engineering - Aerospace / Aeronautical and Astronautical Engineering;Engineering - Computer;Engineering - Electrical / Electronics / Communications Engineering;Engineering - Electromechanical Engineering;Engineering - Mechanical;Engineering - Mechatronics / Robotics / Automation Engineering;Engineering - Physics;Engineering - Science;Engineering - Systems;High School - Other Interest;Mathematics;Mathematics - Applied;Multi-disciplinary - Mathematics and Computer Science;Physical Science - Astronomy and Astrophysics;Physical Science - Physics,11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior;Graduate Master's,Virtual
11768,Knowledge Management,Architectural - Sciences and Technology;Architecture;Biological Science - Biochemistry / Biophysics and Molecular Biology;Biological Science - Biological and Biomedical Sciences;Biological Science - Biology;Biological Science - Biomathematics / Bioinformatics / Computational Biology;Biological Science - Biotechnology;Biological Science - Botany/Plant Biology;Biological Science - Ecology / Evolution / Systematics / Population Biology;Biological Science - Genetics;Biological Science - Microbiological Sciences and Immunology;Biological Science - Molecular Medicine;Biological Science - Neurobiology and Neurosciences;Biological Science - Pharmacology and Toxicology;Business - Accounting and Related Services;Business - Administration / Management and Operations;Business - Commerce / General;Business - Corporate Communications;Business - Entrepreneurial and Small Business Operations;Business - Finance and Financial Management Services;Business - Human Resources Management and Services;Business - International Business;Business - Management / Marketing / Related Support Services;Business - Management Information Systems and Services;Business - Management Sciences and Quantitative Methods;Business - Managerial Economics;Business - Marketing;Business - Operations Support and Assistant Services;Communication - Journalism and Related Programs;Communication - Media Studies;Communications - Graphic Communications;Communications - Public Relations / Advertising / Applied Communication;Communications - Publishing;Communications - Technologies/Technicians and Support Services;Computer and Information Sciences - Computer/Information Technology Administration and Management;Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Computer and Information Sciences - Computer Software and Media Applications;Computer and Information Sciences - Computer Systems Analysis;Computer and Information Sciences - Computer Systems Networking and Telecommunications;Computer and Information Sciences - Data Entry/Microcomputer Applications;Computer and Information Sciences - Data Processing;Computer and Information Sciences - Information Science/Studies;Education - Educational/Instructional Media Design;Education - General;Engineering - Aerospace / Aeronautical and Astronautical Engineering;Engineering - Agricultural;Engineering - Architectural;Engineering - Biochemical;Engineering - Biological/Biosystems;Engineering - Biomedical/Medical Engineering;Engineering - Ceramic Sciences and Engineering;Engineering - Chemical;Engineering - Chemistry;Engineering - Civil;Engineering - Computer;Engineering - Construction;Engineering - Electrical / Electronics / Communications Engineering;Engineering - Electromechanical Engineering;Engineering - Environmental/Environmental Health Engineering;Engineering - General;Engineering - Geological/Geophysical Engineering;Engineering - Industrial;Engineering - Manufacturing;Engineering - Materials;Engineering - Materials Science;Engineering - Mechanical;Engineering - Mechanics;Engineering - Mechatronics / Robotics / Automation Engineering;Engineering - Metallurgical;Engineering - Mining and Mineral Engineering;Engineering - Naval Architecture and Marine Engineering;Engineering - Nuclear;Engineering - Ocean;Engineering - Operations Research;Engineering - Petroleum;Engineering - Physics;Engineering - Polymer/Plastics Engineering;Engineering - Science;Engineering - Surveying;Engineering - Systems;English - Technical and Business Writing;Environmental Design;Liberal Arts and Sciences / General Studies and Humanities;Mathematics;Mathematics - Applied;Mathematics - Mathematics and Statistics;Multi-disciplinary - Cognitive Science;Multi-disciplinary - Computational Science;Multi-disciplinary - Mathematics and Computer Science;Multi-disciplinary - Neuroscience;Multi-disciplinary - Systems Science and Theory;Physical Science - Astronomy and Astrophysics;Physical Science - Atmospheric Sciences and Meteorology;Physical Science - Chemistry;Physical Science - Geological and Earth Science/Geosciences;Physical Science - Physics;Psychology - Cognitive and Psycholinguistics;Psychology - Industrial and Organizational;Psychology - Psychometrics and Quantitative,11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior;Graduate Master's;Graduate Doctoral;Post Doctoral,In-person / Virtual
11786,IT Helpdesk support,Business - Management Information Systems and Services;Computer and Information Sciences - Computer/Information Technology Administration and Management;Computer and Information Sciences - Computer Systems Analysis;Computer and Information Sciences - Data Entry/Microcomputer Applications;Computer and Information Sciences - Data Processing;Computer and Information Sciences - Information Science/Studies;Multi-disciplinary - Accounting and Computer Science,11;12;Undergraduate Freshman,Virtual
11787,Guided Vehicle Flight Safety Analysis,Engineering - Aerospace / Aeronautical and Astronautical Engineering;Engineering - Mechanical;Mathematics;Mathematics - Applied;Mathematics - Mathematics and Statistics;Physical Science - Astronomy and Astrophysics,9;10;11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,Virtual
11848,Assessing anthropogenic aerosol impact during COVID-19 pandemic,Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science,10;11;12,Virtual
11853,Expanding Reach of NASA Science Content,Business - Administration / Management and Operations;Communication - Media Studies;Communications - Audio Visual;Communications - Radio / Television / Digital Communications,9;10;11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,Virtual
11882,Virtual - Fluidic Telescope Experiment (FLUTE),Engineering - General;Engineering - Science;High School - Other Interest;Physical Science - Astronomy and Astrophysics;Physical Science - Physics,9;10;11;12;Undergraduate Freshman;Undergraduate Sophomore,Virtual
11898,Microgravity Web Development Internship - Virtual,Communications - Graphic Communications;Computer and Information Sciences - Computer Programming;Engineering - Chemistry;Engineering - Computer;Engineering - Electrical / Electronics / Communications Engineering;Engineering - Mechanical;Engineering - Systems;Physical Science - Chemistry;Physical Science - Physics;Science Technology - Physical Science Technologies/Technicians;Visual and Performing Arts - Design and Applied Arts,11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,Virtual
11900,GHIP Physical Sciences and Technologies Internship 1 - Virtual,Computer and Information Sciences - Computer Programming;Engineering - General;Engineering - Physics;Physical Science - Physics;Science Technology - Physical Science Technologies/Technicians,11;12,Virtual
11902,GHIP Physical Sciences and Technologies Internship 2 - Virtual,Engineering - Chemical,11;12,Virtual
11903,GHIP Physical Sciences and Technologies Internship 3 - Virtual,Engineering - Mechanical,11;12,Virtual
11904,Virtual Volunteer – Research on Aeronautics Contributions to Wildfire Management,Business - Management / Marketing / Related Support Services;Business - Management Sciences and Quantitative Methods;Business - Marketing;Business - Operations Support and Assistant Services;Communication - Journalism and Related Programs;Communications - Public Relations / Advertising / Applied Communication;Communications - Technologies/Technicians and Support Services;Computer and Information Sciences - Computer Science;Engineering - Aerospace / Aeronautical and Astronautical Engineering;Engineering - Environmental/Environmental Health Engineering;Engineering - Geological/Geophysical Engineering;Engineering - Physics;Engineering - Surveying;English - Technical and Business Writing;Mathematics - Mathematics and Statistics;Protective Services - Fire Protection;Social Science - Social Sciences / General,11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,Virtual
11907,Virtual - Develop Aviation-Specific Machine Learning Model (using BERT),Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Computer and Information Sciences - Data Processing;Computer and Information Sciences - Information Science/Studies;Engineering - Aerospace / Aeronautical and Astronautical Engineering;Mathematics - Mathematics and Statistics;Multi-disciplinary - Computational Science,11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior;Graduate Master's;Graduate Doctoral,Virtual
11908,Virtual – Apply AI & Machine Learning Techniques for Airspace Operations,Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Computer and Information Sciences - Information Science/Studies;Engineering - Aerospace / Aeronautical and Astronautical Engineering;Mathematics - Mathematics and Statistics;Mathematics - Statistics;Multi-disciplinary - Mathematics and Computer Science,11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior;Graduate Master's;Graduate Doctoral,Virtual
11964,VISTAS System Administration and Network Integration,High School - Other Interest,11;12,Virtual
